Emp_ID,Emp_Name,Department,Job_Role,City,State,Division,Country,Joining_Date,Exit_Date,Duration_Time,Experience,Attrition,Attrition_Count,Gender,Age,Age_Group,Last_Qualification,Attrition_Reason,Monthly_Salary,Salary_Group,Work_Life_Balance,Job_Satisfaction,City_Lat_Long.1,City_Lat_Long.2,State_Lat_Long.1,State_Lat_Long.2,Exp_at_Com,AgeGroupSort,SalaryGroupSort,Active_Emp_Count,Duration_by_Group
EMP1731,Vivaan Singh,Sales,Sales Manager,Bangalore,Karnataka,South,India,14 August 2017,,8,8+ Yrs,No,0,Female,22,18-25,Bachelor,,144981,15-18 LPA,5,3,14.295783,86.76954,17.981196,76.741478,8,1,9,1,7-10 Yrs
EMP1799,Ishaan Kumar,IT,QA Analyst,Hyderabad,Telangana,South,India,27 June 2017,,8,8+ Yrs,No,0,Male,48,46-55,Master,,43932,5-6 LPA,5,2,26.693654,80.20167,24.792426,68.576983,8,4,4,1,7-10 Yrs
EMP1846,Diya Sharma,Finance,Accountant,Bangalore,Karnataka,South,India,15 June 2017,,8,8+ Yrs,No,0,Female,60,56-65,PhD,,44942,5-6 LPA,3,2,16.592128,76.613969,19.352011,85.651204,8,5,4,1,7-10 Yrs
EMP1861,Vivaan Singh,Finance,Accountant,Chennai,Tamil Nadu,South,India,17 April 2017,,8,8+ Yrs,No,0,Male,49,46-55,Master,,28774,3-4 LPA,2,3,16.563192,89.95413,10.334005,73.291142,8,4,2,1,7-10 Yrs
EMP1864,Diya Verma,IT,SysAdmin,Hyderabad,Telangana,South,India,09 March 2017,,8,8+ Yrs,No,0,Male,42,36-45,PhD,,66139,6-8 LPA,5,4,17.526301,91.641251,10.967246,81.095773,8,3,5,1,7-10 Yrs
EMP1881,Sai Gupta,Marketing,Marketing Executive,Chennai,Tamil Nadu,South,India,11 May 2017,,8,8+ Yrs,No,0,Male,59,56-65,High School,,143831,15-18 LPA,2,5,10.400843,78.251517,10.471715,85.476789,8,5,9,1,7-10 Yrs
EMP1949,Diya Joshi,Marketing,Marketing Executive,Chennai,Tamil Nadu,South,India,18 August 2017,,8,8+ Yrs,No,0,Female,23,18-25,Master,,64275,6-8 LPA,4,3,21.273927,88.930281,35.787497,94.523637,8,1,5,1,7-10 Yrs
EMP2046,Sai Mehta,HR,Recruiter,Bangalore,Karnataka,South,India,19 June 2017,,8,8+ Yrs,No,0,Male,45,36-45,High School,,148429,15-18 LPA,4,1,31.611429,92.690397,26.25,95.792111,8,3,9,1,7-10 Yrs
EMP2079,Aditi Verma,Operations,Operations Executive,Hyderabad,Telangana,South,India,08 May 2017,,8,8+ Yrs,No,0,Male,60,56-65,PhD,,119103,12-15 LPA,2,5,35.06867,79.467984,11.557383,93.777467,8,5,8,1,7-10 Yrs
EMP2093,Sai Singh,Support,Support Manager,Hyderabad,Telangana,South,India,01 February 2017,,8.5,8.5+ Yrs,No,0,Male,22,18-25,PhD,,90701,10-12 LPA,4,3,29.966482,76.294448,8.902254,73.704569,8,1,7,1,7-10 Yrs
EMP2095,Arjun Gupta,Support,Support Executive,Bangalore,Karnataka,South,India,29 June 2017,,8,8+ Yrs,No,0,Male,25,18-25,Master,,117618,12-15 LPA,1,2,17.323118,77.181659,30.300123,94.35042,8,1,8,1,7-10 Yrs
EMP2132,Aditya Mehta,HR,Recruiter,Bangalore,Karnataka,South,India,05 July 2017,,8,8+ Yrs,No,0,Male,45,36-45,High School,,98247,10-12 LPA,4,3,27.034835,80.694595,16.981212,75.318799,8,3,7,1,7-10 Yrs
EMP2228,Krishna Sharma,Finance,Accountant,Hyderabad,Telangana,South,India,01 July 2017,,8,8+ Yrs,No,0,Male,29,26-35,Bachelor,,120852,12-15 LPA,4,1,27.025757,96.627934,27.571641,73.762795,8,2,8,1,7-10 Yrs
EMP2371,Aarav Mehta,Finance,Accountant,Chennai,Tamil Nadu,South,India,16 March 2017,,8,8+ Yrs,No,0,Female,29,26-35,PhD,,124040,12-15 LPA,3,1,31.562396,80.26306,36.800062,70.634659,8,2,8,1,7-10 Yrs
EMP2410,Ananya Reddy,HR,Recruiter,Chennai,Tamil Nadu,South,India,13 August 2017,,8,8+ Yrs,No,0,Male,58,56-65,High School,,139855,15-18 LPA,1,2,23.194497,85.87521,26.73384,77.005241,8,5,9,1,7-10 Yrs
EMP2446,Ananya Patel,Operations,Operations Executive,Hyderabad,Telangana,South,India,02 March 2017,,8,8+ Yrs,No,0,Male,39,36-45,High School,,39433,4-5 LPA,2,5,9.275033,77.266581,10.370826,91.57878,8,3,3,1,7-10 Yrs
EMP2459,Krishna Singh,HR,HR Manager,Bangalore,Karnataka,South,India,14 February 2017,,8.5,8.5+ Yrs,No,0,Male,52,46-55,Master,,81319,8-10 LPA,5,2,17.391385,78.896505,22.035324,68.591564,8,4,6,1,7-10 Yrs
EMP2480,Krishna Patel,Marketing,Marketing Executive,Chennai,Tamil Nadu,South,India,17 August 2017,,8,8+ Yrs,No,0,Male,26,26-35,Bachelor,,99966,10-12 LPA,2,3,27.736027,96.558545,27.373386,85.661281,8,2,7,1,7-10 Yrs
EMP2646,Arjun Mehta,Finance,Financial Analyst,Chennai,Tamil Nadu,South,India,07 February 2017,,8.5,8.5+ Yrs,No,0,Male,38,36-45,Master,,87566,10-12 LPA,2,1,18.197557,78.055906,11.411449,77.078767,8,3,7,1,7-10 Yrs
EMP2651,Vivaan Reddy,Operations,Operations Executive,Bangalore,Karnataka,South,India,22 July 2017,,8,8+ Yrs,No,0,Female,51,46-55,Master,,36411,4-5 LPA,1,4,14.042171,74.910012,32.598877,82.315713,8,4,3,1,7-10 Yrs
EMP2674,Aarav Verma,Marketing,Marketing Executive,Hyderabad,Telangana,South,India,22 March 2017,,8,8+ Yrs,No,0,Female,36,36-45,PhD,,134973,15-18 LPA,1,1,14.228012,83.714083,32.60394,74.383664,8,3,9,1,7-10 Yrs
EMP2675,Arjun Gupta,HR,HR Manager,Bangalore,Karnataka,South,India,12 June 2017,,8,8+ Yrs,No,0,Male,50,46-55,PhD,,32085,3-4 LPA,4,5,12.952615,93.027926,11.817087,91.773544,8,4,2,1,7-10 Yrs
EMP2707,Diya Patel,IT,Data Analyst,Bangalore,Karnataka,South,India,23 April 2017,,8,8+ Yrs,No,0,Female,31,26-35,PhD,,86576,10-12 LPA,3,1,35.815085,93.676918,19.520948,79.541833,8,2,7,1,7-10 Yrs
EMP2795,Vivaan Joshi,Support,Support Manager,Hyderabad,Telangana,South,India,09 March 2017,,8,8+ Yrs,No,0,Male,25,18-25,High School,,76333,8-10 LPA,3,4,31.766816,84.81777,14.784137,92.398471,8,1,6,1,7-10 Yrs
EMP2801,Ananya Sharma,IT,Data Analyst,Bangalore,Karnataka,South,India,02 June 2017,,8,8+ Yrs,No,0,Female,29,26-35,Master,,46613,5-6 LPA,2,3,13.87952,76.058573,32.394702,96.175255,8,2,4,1,7-10 Yrs
EMP2903,Krishna Kumar,Finance,Financial Analyst,Hyderabad,Telangana,South,India,28 January 2017,,8.5,8.5+ Yrs,No,0,Female,60,56-65,Bachelor,,67758,8-10 LPA,1,2,17.318965,92.837869,33.881649,93.438075,8,5,6,1,7-10 Yrs
EMP2904,Krishna Sharma,Sales,Sales Manager,Bangalore,Karnataka,South,India,26 April 2017,,8,8+ Yrs,No,0,Female,23,18-25,Bachelor,,75782,8-10 LPA,1,4,9.948171,81.723047,25.322044,91.303911,8,1,6,1,7-10 Yrs
EMP3006,Sai Gupta,Operations,Operations Manager,Bangalore,Karnataka,South,India,05 April 2017,,8,8+ Yrs,No,0,Male,57,56-65,Master,,80762,8-10 LPA,4,2,26.306849,95.96681,31.018239,88.717904,8,5,6,1,7-10 Yrs
EMP3108,Diya Kumar,HR,Recruiter,Hyderabad,Telangana,South,India,16 April 2017,,8,8+ Yrs,No,0,Female,44,36-45,PhD,,77960,8-10 LPA,3,3,18.612275,95.690815,25.009505,70.328546,8,3,6,1,7-10 Yrs
EMP3132,Sai Gupta,IT,SysAdmin,Hyderabad,Telangana,South,India,24 July 2017,,8,8+ Yrs,No,0,Female,28,26-35,High School,,79183,8-10 LPA,4,4,12.572767,91.682651,24.589308,81.018598,8,2,6,1,7-10 Yrs
EMP3136,Vivaan Sharma,IT,Data Analyst,Bangalore,Karnataka,South,India,25 April 2017,,8,8+ Yrs,No,0,Female,35,26-35,PhD,,79859,8-10 LPA,3,1,12.985425,78.536008,27.094335,83.034861,8,2,6,1,7-10 Yrs
EMP3164,Vivaan Chopra,Marketing,Marketing Executive,Chennai,Tamil Nadu,South,India,15 July 2017,,8,8+ Yrs,No,0,Female,39,36-45,Master,,38366,4-5 LPA,4,4,29.532995,71.509851,19.543139,89.347501,8,3,3,1,7-10 Yrs
EMP3192,Vivaan Reddy,HR,Recruiter,Hyderabad,Telangana,South,India,03 March 2017,,8,8+ Yrs,No,0,Male,38,36-45,Master,,118979,12-15 LPA,1,1,17.471043,78.560259,28.991821,72.780206,8,3,8,1,7-10 Yrs
EMP3233,Diya Verma,Support,Support Executive,Bangalore,Karnataka,South,India,25 April 2017,,8,8+ Yrs,No,0,Male,27,26-35,Master,,53492,6-8 LPA,5,1,15.172852,71.402701,32.016907,78.538635,8,2,5,1,7-10 Yrs
EMP3248,Krishna Mehta,Operations,Operations Manager,Chennai,Tamil Nadu,South,India,23 March 2017,,8,8+ Yrs,No,0,Male,23,18-25,Master,,28344,3-4 LPA,5,3,16.498749,71.922233,14.93324,68.891652,8,1,2,1,7-10 Yrs
EMP3326,Ananya Mehta,Sales,Sales Manager,Chennai,Tamil Nadu,South,India,09 June 2017,,8,8+ Yrs,No,0,Male,59,56-65,High School,,105772,12-15 LPA,1,1,8.317292,76.160345,9.931686,82.041251,8,5,8,1,7-10 Yrs
EMP3353,Diya Sharma,Finance,Accountant,Chennai,Tamil Nadu,South,India,18 July 2017,,8,8+ Yrs,No,0,Male,55,46-55,Bachelor,,65028,6-8 LPA,3,2,34.744636,94.276147,27.166685,89.844581,8,4,5,1,7-10 Yrs
EMP3364,Aditya Singh,HR,HR Manager,Hyderabad,Telangana,South,India,18 August 2017,,8,8+ Yrs,No,0,Female,50,46-55,Master,,148155,15-18 LPA,5,5,18.228728,69.920584,23.432926,82.366038,8,4,9,1,7-10 Yrs
EMP3408,Krishna Reddy,HR,HR Manager,Chennai,Tamil Nadu,South,India,02 April 2017,,8,8+ Yrs,No,0,Male,37,36-45,PhD,,34513,4-5 LPA,2,2,9.619768,86.069084,21.284789,95.801103,8,3,3,1,7-10 Yrs
EMP3547,Arjun Patel,Finance,Financial Analyst,Bangalore,Karnataka,South,India,08 February 2017,,8.5,8.5+ Yrs,No,0,Female,56,56-65,Master,,100757,12-15 LPA,2,4,10.181027,78.820362,14.844205,84.000101,8,5,8,1,7-10 Yrs
EMP3552,Diya Singh,Marketing,Content Strategist,Chennai,Tamil Nadu,South,India,10 July 2017,,8,8+ Yrs,No,0,Female,52,46-55,Master,,86835,10-12 LPA,3,3,23.251889,80.773162,26.930283,92.600066,8,4,7,1,7-10 Yrs
EMP3603,Sai Singh,Finance,Accountant,Chennai,Tamil Nadu,South,India,22 May 2017,,8,8+ Yrs,No,0,Female,57,56-65,High School,,149661,15-18 LPA,4,5,19.863876,89.427524,35.194542,75.899905,8,5,9,1,7-10 Yrs
EMP3625,Arjun Verma,Support,Support Manager,Hyderabad,Telangana,South,India,01 April 2017,,8,8+ Yrs,No,0,Male,60,56-65,Master,,49363,5-6 LPA,1,4,31.82212,92.535831,35.963748,85.211205,8,5,4,1,7-10 Yrs
EMP3837,Sai Sharma,HR,Recruiter,Chennai,Tamil Nadu,South,India,27 April 2017,,8,8+ Yrs,No,0,Female,35,26-35,High School,,85197,10-12 LPA,1,3,25.557939,80.759391,33.670409,84.278524,8,2,7,1,7-10 Yrs
EMP3898,Sai Reddy,Operations,Operations Manager,Hyderabad,Telangana,South,India,02 May 2017,,8,8+ Yrs,No,0,Male,34,26-35,Bachelor,,119950,12-15 LPA,4,1,10.363329,81.575831,9.685841,80.940098,8,2,8,1,7-10 Yrs
EMP3906,Ishaan Kumar,Support,Support Executive,Hyderabad,Telangana,South,India,08 May 2017,,8,8+ Yrs,No,0,Male,42,36-45,High School,,34592,4-5 LPA,4,1,21.043695,71.650173,20.627687,83.137745,8,3,3,1,7-10 Yrs
EMP4006,Arjun Singh,Support,Support Manager,Hyderabad,Telangana,South,India,25 April 2017,,8,8+ Yrs,No,0,Male,54,46-55,High School,,103377,12-15 LPA,1,1,27.037647,96.827507,30.236794,94.744979,8,4,8,1,7-10 Yrs
EMP4009,Ananya Singh,IT,SysAdmin,Bangalore,Karnataka,South,India,08 April 2017,,8,8+ Yrs,No,0,Male,53,46-55,PhD,,148939,15-18 LPA,2,1,25.129544,79.52711,10.069613,90.064306,8,4,9,1,7-10 Yrs
EMP4051,Aarav Patel,HR,Recruiter,Bangalore,Karnataka,South,India,23 August 2017,,8,8+ Yrs,No,0,Male,45,36-45,Bachelor,,73468,8-10 LPA,1,4,16.582464,81.860803,28.324347,81.248802,8,3,6,1,7-10 Yrs
EMP4089,Aditya Kumar,Operations,Operations Executive,Bangalore,Karnataka,South,India,03 April 2017,,8,8+ Yrs,No,0,Female,32,26-35,Bachelor,,32346,3-4 LPA,1,5,16.223576,86.546216,16.713023,94.011435,8,2,2,1,7-10 Yrs
EMP4173,Aditya Kumar,IT,Developer,Hyderabad,Telangana,South,India,05 July 2017,,8,8+ Yrs,No,0,Male,49,46-55,High School,,43162,5-6 LPA,2,5,23.092241,90.445542,9.800613,96.158809,8,4,4,1,7-10 Yrs
EMP4422,Aditi Reddy,IT,SysAdmin,Chennai,Tamil Nadu,South,India,14 June 2017,,8,8+ Yrs,No,0,Male,35,26-35,Master,,132830,15-18 LPA,2,4,23.628422,88.185838,26.469152,87.628196,8,2,9,1,7-10 Yrs
EMP4458,Sai Gupta,Finance,Financial Analyst,Chennai,Tamil Nadu,South,India,22 February 2017,,8.5,8.5+ Yrs,No,0,Female,23,18-25,Master,,90517,10-12 LPA,3,4,16.526986,79.516634,13.947912,91.932307,8,1,7,1,7-10 Yrs
EMP4498,Aarav Joshi,Sales,Sales Executive,Bangalore,Karnataka,South,India,06 March 2017,,8,8+ Yrs,No,0,Female,52,46-55,Master,,137560,15-18 LPA,4,5,26.875201,76.13973,20.820357,83.973763,8,4,9,1,7-10 Yrs
EMP4519,Ananya Patel,Support,Support Manager,Chennai,Tamil Nadu,South,India,17 April 2017,,8,8+ Yrs,No,0,Female,26,26-35,Bachelor,,32000,3-4 LPA,3,2,22.499066,75.795841,21.127013,70.341888,8,2,2,1,7-10 Yrs
